name	elv_m	N14_atoms_g	delN14_atoms_g	extraction_lab	t_LSDn	dNnorm_ext_LSDn
13-NTK-038-WHT	2367.6	838000	11000	Tulane	15090	358
SB2019-LD-19-C1	26.3	838871.2758	13131.84523	Tulane	0	710
04-DW-040-BR	1948	852600	11190	Tulane	0	123
13-NTK-041-WHT	2470.7	875600	11560	Tulane	13419	343
13-NTK-042-WHT	2530.4	881000	11870	Tulane	12639	335
04-DW-035-BR	2032	933300	12300	Tulane	0	127
15-ROB-039-ARM	2308	966600	12680	Tulane	0	109
13-NTK-039-WHT	2422	1040000	13600	Tulane	40974	424
04-DW-033-BR	2083	1051000	14130	Tulane	0	141
13-NTK-040-WHT	2446.4	1140000	14900	Tulane	0	115
13-NTK-043-WHT	2626.5	1160000	15080	Tulane	30142	416
13-NTK-044-WHT	2765.3	1180000	15470	Tulane	18940	384
15-ROB-034-COL	2361	1210000	15780	Tulane	0	129
PRR-44832	2696	1306000	16830	Tulane	0	109
13-NTK-045-WHT	2729.3	1355000	17570	Tulane	0	113
04-DW-047-BR	1883	1437000	18500	Tulane	0	218
